,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
3707,3.08,Uber,Northeastern University,West End,24.0,1.0,40d9a6b5-a47c-4113-a0a3-325dbaeb9c2d,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:05.50.00,40.36,1.0,1014.16,,0.91,0.73,5,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
118,2.64,Lyft,North End,Back Bay,22.5,1.0,feb2172d-bf06-4552-9a41-148f045482b8,lyft_lux,Lux Black,2018-11-26:06.14.17,40.46,1.0,1014.18,,0.91,1.16,6,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
1227,1.71,Lyft,North End,Theatre District,13.5,1.0,e23be0d4-474e-45c4-8a06-10bcfed5884a,lyft_plus,Lyft XL,2018-11-26:06.15.15,40.41,1.0,1014.18,,0.92,1.23,6,2018-11-26,Monday,XL,0,0,0,0,0,0,1
792,3.01,Uber,Boston University,North Station,11.0,1.0,24911052-39bd-40c0-903f-cd4dd7a60efd,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:06.49.03,41.11,0.98,1014.35,,0.92,1.81,6,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
1912,1.07,Lyft,Financial District,Haymarket Square,7.0,1.0,28aa4f38-aa18-43b9-8376-42bd0ef4c153,lyft,Lyft,2018-11-26:10.35.09,40.57,0.99,1014.86,,0.95,2.05,10,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
97,1.03,Lyft,North End,Financial District,7.0,1.0,ef429329-25bd-44fd-ad0f-8a02d731de0d,lyft,Lyft,2018-11-29:01.02.08,36.85,0.71,997.12,,0.76,10.0,1,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
3136,1.29,Lyft,Theatre District,Haymarket Square,9.0,1.0,c9001145-5ed0-4288-b649-52a3c0b9f07d,lyft,Lyft,2018-11-28:22.53.38,40.09,0.99,994.93,,0.63,9.85,22,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3275,1.75,Lyft,Theatre District,North End,9.0,1.0,5cac5689-9b86-4172-93cd-baf610bc8ed7,lyft,Lyft,2018-11-26:09.29.09,40.91,1.0,1014.75,,0.93,1.16,9,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
1027,0.63,Lyft,South Station,Theatre District,11.0,1.0,876b4058-8123-49d2-9a44-bd90a3a5562b,lyft_premier,Lux,2018-11-28:11.06.24,33.29,0.38,990.68,,0.82,6.61,11,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
2280,2.84,Lyft,West End,Northeastern University,16.5,1.0,95690858-5cb6-4f18-82e2-56d9e8f23024,lyft_premier,Lux,2018-11-28:16.02.07,41.4,0.61,991.57,,0.61,9.96,16,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
1913,1.07,Lyft,Financial District,Haymarket Square,16.5,1.0,5698fb49-6af5-4eb2-b0ef-23b558284527,lyft_lux,Lux Black,2018-11-26:10.35.09,40.57,0.99,1014.86,,0.95,2.05,10,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
3415,3.0,Lyft,Northeastern University,West End,22.5,1.0,c16ea035-f661-4112-b3e6-12cae75fff02,lyft_lux,Lux Black,2018-11-26:06.14.17,40.4,1.0,1014.19,,0.92,1.21,6,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
3305,0.99,Lyft,North Station,North End,27.5,1.0,5e9973e9-b4cd-4424-a98b-6afa59866471,lyft_luxsuv,Lux Black XL,2018-11-27:00.58.48,44.09,0.98,1006.01,0.161,0.9,10.0,0,2018-11-27,Tuesday,SUV,0,0,0,1,0,0,0
3063,1.34,Lyft,South Station,Back Bay,22.5,1.0,0c98c33e-6673-4744-b9f0-b1e6f28e9ea8,lyft_lux,Lux Black,2018-11-26:06.16.16,40.47,1.0,1014.18,,0.91,1.19,6,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
2490,0.49,Uber,North Station,Haymarket Square,7.0,1.0,10311666-f463-4d2a-8ab8-cb261830f3f6,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:02.06.47,38.4,0.51,997.88,,0.7,10.41,2,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
905,2.79,Uber,Beacon Hill,Boston University,15.0,1.0,c3e5b222-5f10-418c-9946-3e1ae292f1f3,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:09.32.18,33.59,0.42,991.81,,0.83,5.78,9,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3247,3.21,Uber,North Station,Northeastern University,34.0,1.0,a6143c90-3a2f-45bd-8251-f9d1deb8cc41,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:15.35.09,44.37,0.88,1014.19,,0.89,4.86,15,2018-11-26,Monday,SUV,0,0,0,1,0,0,0
1812,1.36,Uber,Beacon Hill,Haymarket Square,,1.0,26922bf1-8ec6-4752-9513-92f9e01f5a92,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:07.34.35,35.02,0.15,991.75,,0.8,6.7,7,2018-11-28,Wednesday,,0,0,0,0,0,0,0
1656,2.38,Lyft,Fenway,Beacon Hill,22.5,1.0,4a87488a-2363-4c24-8939-1fc52aad932b,lyft_lux,Lux Black,2018-11-28:17.32.07,41.3,0.85,991.67,,0.64,9.92,17,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3856,1.18,Lyft,Haymarket Square,Financial District,7.0,1.0,2b62f1bc-ce10-44f3-8224-6a788bf06663,lyft,Lyft,2018-11-28:07.34.35,35.86,0.15,991.76,,0.77,6.73,7,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
1871,0.58,Uber,South Station,Theatre District,7.0,1.0,bf6160c3-1113-40d2-9f30-46d90cc3d35f,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:16.35.09,45.38,0.84,1013.55,,0.86,5.89,16,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
1907,0.75,Lyft,Haymarket Square,West End,7.0,1.0,47b98211-0099-421c-bb04-214a9d96a481,lyft,Lyft,2018-11-28:09.32.11,33.28,0.42,991.79,,0.84,5.89,9,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
1844,1.46,Lyft,Back Bay,Northeastern University,5.0,1.0,2c75826b-0b46-487b-8575-36c62e89cc00,lyft_line,Shared,2018-11-28:16.32.08,41.34,0.66,991.63,,0.63,10.44,16,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
719,1.56,Uber,Back Bay,Boston University,8.5,1.0,4735ff2d-69a5-4a31-a106-4e971d687400,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:00.37.34,38.65,0.75,996.83,,0.69,10.79,0,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
1510,1.09,Lyft,Financial District,North End,13.5,1.0,93c69394-5d0c-4af3-8f48-f5f5d6c797c8,lyft_premier,Lux,2018-11-26:21.35.09,44.6,0.92,1009.04,0.003,0.86,9.46,21,2018-11-26,Monday,Lux,0,0,1,0,0,0,0
3056,2.5,Uber,Beacon Hill,South Station,,1.0,f25fbc0a-2de8-4d07-ba42-fbf6ddda5b25,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:01.27.03,36.67,0.58,997.48,,0.77,10.53,1,2018-11-29,Thursday,,0,0,0,0,0,0,0
710,3.26,Lyft,Fenway,Theatre District,38.5,1.0,f0585b03-2c6a-432b-8ed7-9979757a1b55,lyft_luxsuv,Lux Black XL,2018-12-14:01.45.03,30.02,0.78,1035.03,,0.69,2.38,1,2018-12-14,Friday,SUV,0,0,0,1,0,0,0
230,2.62,Uber,Boston University,Theatre District,10.5,1.0,9e8820a9-0ddf-418b-a5ac-a3c2ef61e06e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:01.45.22,44.09,1.0,1004.19,0.7222,0.91,12.45,1,2018-11-27,Tuesday,Accessible,1,0,0,0,0,0,0
3538,4.72,Uber,Financial District,Boston University,14.0,1.0,e304167b-8f06-4caf-bba7-dbaa8af4b7ed,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:00.49.08,38.85,0.77,996.82,,0.7,9.55,0,2018-11-29,Thursday,Accessible,1,0,0,0,0,0,0
708,2.0,Lyft,North Station,South Station,16.5,1.0,38fee93a-be78-41e6-979f-b1c385f46e46,lyft_plus,Lyft XL,2018-11-28:14.02.07,38.45,0.49,991.65,,0.67,11.25,14,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1508,1.09,Lyft,Financial District,North End,16.5,1.0,6aa1a233-2a4b-43bf-891d-0ab415017245,lyft_lux,Lux Black,2018-11-26:21.35.09,44.6,0.92,1009.04,0.003,0.86,9.46,21,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
3065,1.34,Uber,Fenway,Back Bay,26.5,1.0,d1331781-6957-4284-a9cc-dece3b74705c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:04.49.37,40.72,0.95,1013.78,,0.92,2.59,4,2018-11-26,Monday,SUV,0,0,0,1,0,0,0
2233,0.54,Uber,Financial District,South Station,27.0,1.0,1c13271e-6c87-46ef-aedb-4e9331a133f6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:23.02.09,40.49,0.99,995.03,,0.62,10.1,23,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1575,2.05,Lyft,Theatre District,Northeastern University,13.5,1.0,e1ca7040-c4c9-483a-9ed7-9f7d6fc43e8a,lyft_plus,Lyft XL,2018-11-28:17.32.07,41.52,0.85,991.69,,0.63,9.9,17,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1172,0.94,Lyft,Financial District,Haymarket Square,10.5,1.0,59cb9753-38f7-4111-9a19-5b3e86511a00,lyft_plus,Lyft XL,2018-11-28:13.32.07,37.96,0.55,991.82,,0.69,6.72,13,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1302,1.25,Uber,Haymarket Square,Financial District,15.0,1.0,2d29361c-6845-465a-88f3-2e51a16c5c5b,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27:00.58.48,44.6,0.98,1005.99,0.196,0.88,9.98,0,2018-11-27,Tuesday,Sedan,0,0,0,0,1,0,0
1486,0.57,Lyft,North Station,Haymarket Square,9.0,1.0,b5b3bb1c-d836-4a94-9c71-264d639ba78a,lyft_plus,Lyft XL,2018-11-26:06.14.17,40.5,1.0,1014.19,,0.91,1.23,6,2018-11-26,Monday,XL,0,0,0,0,0,0,1
1241,2.62,Uber,Boston University,Theatre District,,1.0,76d319f4-16d6-44e3-8366-e6c557361e32,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:05.14.00,40.51,0.93,1013.76,,0.93,3.11,5,2018-11-26,Monday,,0,0,0,0,0,0,0
3153,1.34,Uber,Fenway,Back Bay,11.5,1.0,4d90600d-cd97-4182-8242-4739e31992b2,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:10.02.08,33.49,0.13,991.18,,0.83,5.55,10,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3743,2.65,Lyft,Beacon Hill,Boston University,30.0,1.0,5d3c0340-5e70-4aee-af98-b4a5b1bafdbd,lyft_luxsuv,Lux Black XL,2018-11-28:19.06.23,41.1,1.0,991.93,,0.64,9.41,19,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1592,2.67,Uber,Boston University,Theatre District,11.5,1.0,2d0a9fd0-7d7d-4413-a0d9-a301a9f90161,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:06.49.04,41.12,0.98,1014.34,,0.92,1.81,6,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
1927,3.14,Lyft,West End,Boston University,32.5,1.25,c703ed45-650a-4082-a513-a5e59890716f,lyft_lux,Lux Black,2018-11-28:11.32.07,32.88,0.37,991.06,,0.83,6.38,11,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
1171,0.94,Lyft,Financial District,Haymarket Square,10.5,1.0,1ed07f79-678f-4979-b844-519b959981bd,lyft_premier,Lux,2018-11-28:13.32.07,37.96,0.55,991.82,,0.69,6.72,13,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
1235,2.32,Uber,Fenway,Beacon Hill,29.0,1.0,ad51b903-af55-4329-8176-bffe74813c42,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:11.02.07,32.97,0.37,990.64,,0.83,6.51,11,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1544,2.98,Lyft,Fenway,West End,32.5,1.0,e048b1d5-b720-4ad0-890f-73b73eca5d7e,lyft_luxsuv,Lux Black XL,2018-11-29:01.02.08,38.61,0.7,997.12,,0.71,9.92,1,2018-11-29,Thursday,SUV,0,0,0,1,0,0,0
636,1.52,Lyft,Theatre District,North End,22.5,1.0,1526a4ec-d036-4596-80e3-f9d65e8fe7ff,lyft_lux,Lux Black,2018-11-28:23.02.09,39.98,0.98,995.02,,0.64,10.04,23,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
